investor_id,investor_name,investor_type,sector_fouce,check_size_usd,investment_stage,investment_frequency,geographic_focus,last_investment_date
1001,Miller-Clark,VC,Edtech,6637149,Seed,12,MENA,2024-05-28
1002,"Holmes, Arellano and Kim",Institutional Investor,AI,5770202,Seed,1,MENA,2025-03-16
1003,Stephens-Simmons,VC,Fintech,7183366,Series B,9,Europe,2024-11-30
1004,Robertson-Berg,VC,Healthtech,2853331,Series B,14,North America,2025-01-16
1005,"Lawrence, Moore and Huber",VC,Consumer Goods,7935478,Series C,15,North America,2024-12-26
1006,Klein Group,Institutional Investor,AI,8671549,Seed,8,Global,2024-12-03
1007,Garcia-Thompson,Family Office,Healthtech,2711708,Series A,7,North America,2024-08-01
1008,Reyes-Rodriguez,Family Office,E-commerce,9270682,Series C,4,North America,2024-07-20
1009,"Perez, Jenkins and Crawford",VC,Fintech,527179,Series C,8,Global,2024-06-02
1010,"Clayton, Cobb and Lewis",Private Equity,E-commerce,6885272,Series C,10,MENA,2024-04-28
1011,Avila PLC,Institutional Investor,Healthtech,2667058,Series A,12,North America,2024-07-04
1012,Rocha Inc,Private Equity,E-commerce,4579460,Series A,4,Asia,2025-03-06
1013,Barber PLC,VC,Consumer Goods,9641946,Series C,3,Asia,2024-10-05
1014,"Franco, Price and Gardner",Private Equity,Biotech,1018741,Series C,3,Europe,2024-07-11
1015,"Ruiz, Chandler and Fox",Institutional Investor,Biotech,2324569,Series C,1,North America,2024-06-12
1016,Reynolds LLC,Family Office,Biotech,4032095,Series B,4,Europe,2024-09-19
1017,"Sexton, Burke and Sanchez",Private Equity,Healthtech,4890982,Series C,2,Europe,2024-04-17
1018,Wood-Wise,VC,AI,3100107,Series B,15,Asia,2024-10-03
1019,Williams Inc,VC,SaaS,2562660,Seed,11,Asia,2024-07-29
1020,Ramos LLC,Family Office,Fintech,9964804,Series B,3,Asia,2024-07-01
1021,Walker and Sons,VC,E-commerce,7784731,Seed,8,Global,2024-12-24
1022,Richardson PLC,Family Office,AI,1938860,Series B,8,North America,2024-07-05
1023,Turner Ltd,Private Equity,SaaS,815876,Series A,1,Asia,2024-10-22
1024,Young and Sons,Family Office,SaaS,1794726,Seed,11,Asia,2025-01-16
1025,Green-Jones,Institutional Investor,Edtech,2080550,Seed,9,Global,2024-08-12
1026,"Carpenter, Anderson and Hernandez",Private Equity,AI,962613,Series C,1,Asia,2025-03-15
1027,Shah Inc,Institutional Investor,AI,4584252,Series C,4,Europe,2025-03-09
1028,"Baker, Jenkins and Solomon",Institutional Investor,Edtech,7577264,Seed,11,Asia,2024-05-11
1029,Smith LLC,Institutional Investor,SaaS,7086421,Seed,1,MENA,2024-10-15
1030,Lyons LLC,Institutional Investor,Edtech,3374873,Series A,11,Asia,2025-02-09
1031,Webb PLC,VC,AI,4131095,Series C,7,MENA,2024-07-27
1032,"Nguyen, Tucker and Clark",VC,E-commerce,295325,Seed,8,North America,2024-06-02
1033,Daugherty-Rivera,Family Office,E-commerce,8990306,Series C,5,North America,2025-03-01
1034,Munoz and Sons,Institutional Investor,E-commerce,1579776,Series B,7,Europe,2025-03-26
1035,Miller-Snyder,Family Office,Edtech,8555554,Series B,5,MENA,2025-01-25
1036,Vance-Mitchell,Family Office,Edtech,2230645,Series A,3,Europe,2024-05-22
1037,Henderson-Cox,Private Equity,Biotech,2812429,Seed,2,Europe,2024-08-20
1038,Davis Inc,Institutional Investor,Edtech,5778631,Series C,12,Global,2024-06-07
1039,"Cooper, Miller and Martin",Family Office,Edtech,5097378,Series A,15,MENA,2024-09-21
1040,Brown-Farmer,VC,E-commerce,6969067,Series B,1,Europe,2025-03-16
1041,Byrd Inc,Institutional Investor,Consumer Goods,742563,Series A,13,North America,2025-02-10
1042,Snyder Ltd,Institutional Investor,Consumer Goods,2704928,Series A,10,Europe,2024-06-27
1043,"Lopez, Hughes and Page",Private Equity,SaaS,8347710,Series B,14,Global,2024-06-07
1044,Smith and Sons,Private Equity,Consumer Goods,2429192,Series A,15,MENA,2024-11-21
1045,Mejia LLC,Private Equity,Healthtech,2243213,Series B,12,Global,2024-12-10
1046,"Kaufman, Norris and Liu",Family Office,Edtech,5898961,Seed,4,Europe,2024-07-02
1047,Madden Group,VC,SaaS,3387902,Series B,4,North America,2024-09-07
1048,Gallagher LLC,VC,E-commerce,7377853,Series C,5,North America,2024-06-02
1049,Serrano and Sons,Private Equity,SaaS,3261127,Seed,2,Europe,2024-09-05
1050,"Jones, Hudson and Underwood",VC,SaaS,5704871,Seed,7,Asia,2024-12-08
1051,"Castillo, Mack and Potter",Private Equity,E-commerce,1517245,Seed,13,North America,2024-06-04
1052,Hernandez-Willis,Family Office,AI,7765328,Series A,14,MENA,2024-10-08
1053,Henson-Robinson,Institutional Investor,Edtech,3325951,Series A,6,Asia,2024-10-24
1054,Porter-Miller,Institutional Investor,SaaS,349489,Series B,4,MENA,2024-07-15
1055,"Watson, Brooks and White",Family Office,Edtech,1034862,Series A,9,Global,2025-02-12
1056,"Wolf, Wilkinson and Harrison",Family Office,Healthtech,2287822,Series B,11,Europe,2025-01-14
1057,Becker-Webster,Family Office,AI,1931877,Series B,10,MENA,2024-08-18
1058,Marshall Group,Family Office,Fintech,3515941,Seed,3,Asia,2025-01-19
1059,Hunt-Johnson,VC,Biotech,4923249,Series A,10,Europe,2025-02-01
1060,Richard-Russell,VC,Consumer Goods,8679330,Series C,12,North America,2025-03-11
1061,"Neal, Figueroa and Morrison",VC,E-commerce,4901781,Seed,5,North America,2025-02-21
1062,Rhodes-White,Private Equity,Edtech,3553541,Series A,1,MENA,2024-08-22
1063,"Porter, Patel and Beck",Family Office,Edtech,2152861,Seed,3,North America,2024-12-29
1064,Hunt-Chavez,Institutional Investor,SaaS,9108217,Seed,12,Global,2024-12-07
1065,Pacheco-Escobar,Private Equity,SaaS,4371139,Series A,8,Europe,2024-05-26
1066,"Watts, Smith and Rose",Private Equity,Consumer Goods,9953133,Series A,3,North America,2024-10-08
1067,Ford LLC,Private Equity,Fintech,1284141,Series A,14,Asia,2025-03-08
1068,"Bryan, Scott and Tucker",Family Office,E-commerce,6960974,Seed,7,MENA,2024-12-07
1069,"Krueger, Williams and Murphy",Private Equity,Fintech,4841530,Series B,2,Europe,2025-03-15
1070,Palmer-Stevens,Institutional Investor,SaaS,2243344,Seed,1,Global,2024-04-30
1071,"Mata, Montes and Velez",Family Office,Consumer Goods,560001,Series B,7,Global,2024-11-28
1072,Cohen-Watts,VC,AI,8485832,Seed,4,Europe,2024-11-24
1073,Riley and Sons,VC,E-commerce,3583734,Series C,5,Global,2025-03-13
1074,"Maddox, Richardson and Williams",VC,E-commerce,9421442,Series B,4,Asia,2024-11-20
1075,Payne-Lewis,VC,Fintech,5784839,Seed,9,Global,2024-07-07
1076,"Mason, Miller and Brooks",Institutional Investor,Edtech,856250,Seed,2,Asia,2025-01-01
1077,Martin-Hardy,Family Office,Consumer Goods,8696686,Seed,6,MENA,2024-05-31
1078,Robinson-Smith,Institutional Investor,Biotech,242900,Series B,14,Global,2025-01-29
1079,Espinoza Inc,Family Office,Edtech,7398536,Seed,12,North America,2024-07-06
1080,Garcia-Harper,VC,Edtech,2739841,Series B,15,Global,2025-03-25
1081,Gilmore-Fields,VC,Edtech,5829628,Seed,9,MENA,2024-12-04
1082,Trujillo-Reed,Private Equity,E-commerce,6631971,Series C,6,Global,2025-02-01
1083,"Lee, Mcguire and Cantrell",Private Equity,Edtech,2048656,Series B,13,Asia,2025-02-17
1084,Williams Group,Institutional Investor,E-commerce,9175063,Series A,12,Asia,2024-04-14
1085,Lara-Villa,VC,SaaS,6800378,Series A,10,Asia,2025-02-02
1086,Floyd-Meyer,VC,Edtech,2542697,Series B,1,North America,2025-01-28
1087,Haynes-Smith,VC,AI,8369106,Series B,6,Asia,2025-02-11
1088,"Jackson, Pierce and Hubbard",Private Equity,E-commerce,7053561,Series A,1,Europe,2024-05-07
1089,Collins-Carr,Institutional Investor,Fintech,3017857,Series A,9,Europe,2024-04-08
1090,Romero and Sons,VC,Consumer Goods,7737964,Series C,15,North America,2024-06-27
1091,"Peters, Lucas and Harrison",Private Equity,Biotech,6809647,Series C,3,North America,2024-06-28
1092,Mathews-Simmons,Institutional Investor,Consumer Goods,2238993,Series A,2,MENA,2024-12-05
1093,Wilson-Hernandez,Institutional Investor,AI,9162318,Series C,12,North America,2024-04-06
1094,Pena Group,Institutional Investor,SaaS,4686637,Series C,1,Global,2024-11-25
1095,"Moreno, Green and Herman",Private Equity,Healthtech,9989973,Seed,8,Asia,2024-07-23
1096,Anderson-Hood,VC,Healthtech,5402923,Series B,5,MENA,2024-08-12
1097,Miller PLC,Family Office,Fintech,4064201,Series B,10,Global,2024-06-16
1098,Gray-Hancock,Institutional Investor,Edtech,341852,Series C,13,North America,2024-06-03
1099,Adams PLC,VC,Fintech,5608151,Series C,3,Asia,2025-03-14
1100,Robinson-Galloway,Private Equity,Healthtech,2298280,Series A,4,Europe,2024-07-18
1101,"Rosario, Ruiz and Ramirez",Private Equity,Fintech,520142,Seed,7,Global,2024-06-16
1102,"Weaver, Richardson and Gallegos",Family Office,Healthtech,7905334,Seed,8,Global,2024-12-28
1103,"Thompson, White and Webster",Private Equity,SaaS,8137233,Series C,4,Global,2024-05-19
1104,Walls LLC,Private Equity,SaaS,7709082,Seed,11,Europe,2025-03-03
1105,Harris LLC,Private Equity,Biotech,6757164,Series C,3,Asia,2024-06-15
1106,"Smith, Elliott and Griffin",Institutional Investor,Fintech,124826,Series B,8,Europe,2024-10-08
1107,Long Ltd,Family Office,AI,6316381,Seed,7,MENA,2024-08-09
1108,"Robinson, Davidson and Mason",Family Office,SaaS,604414,Series B,6,Global,2024-10-29
1109,"Bass, Turner and Hicks",Institutional Investor,Healthtech,3528802,Series B,8,Europe,2024-05-21
1110,"Maldonado, Cole and Anderson",Private Equity,Consumer Goods,3626799,Seed,15,MENA,2024-10-22
1111,"Henderson, Greer and Williams",VC,Healthtech,4730234,Seed,2,Europe,2024-03-28
1112,Morris Ltd,Family Office,Edtech,5470084,Series B,8,North America,2024-08-03
1113,"Whitney, Herring and Kelly",Private Equity,Consumer Goods,5593521,Series C,5,Global,2024-06-19
1114,"Gill, Clark and Moore",VC,Healthtech,3190739,Series B,6,Global,2024-05-09
1115,Wright Inc,Institutional Investor,Fintech,1838857,Series A,13,Europe,2024-08-19
1116,Smith-Vaughn,VC,AI,378039,Series C,5,Asia,2025-01-21
1117,Williams Group,Institutional Investor,Edtech,8833844,Series A,13,Global,2024-09-23
1118,Day Inc,VC,Consumer Goods,8584143,Seed,15,Global,2024-11-28
1119,Santana PLC,Family Office,Edtech,6411857,Series A,2,Europe,2024-07-13
1120,"Chandler, Walker and Anthony",Family Office,Consumer Goods,2834386,Series C,12,Asia,2024-10-19
1121,Fuller Ltd,VC,SaaS,3865094,Series B,4,North America,2024-10-03
1122,Green Ltd,Institutional Investor,Consumer Goods,1022451,Series B,8,MENA,2024-12-08
1123,Powell and Sons,Private Equity,AI,5637730,Series B,15,Global,2024-10-16
1124,Ruiz LLC,Private Equity,AI,379178,Series A,2,North America,2024-05-19
1125,"Hendrix, Ferguson and Martinez",Family Office,E-commerce,4974142,Seed,11,MENA,2024-03-28
1126,"Mccoy, Cooper and Gonzalez",VC,Consumer Goods,3764339,Series A,9,Asia,2025-01-08
1127,Daniels Ltd,VC,Edtech,5598232,Series B,1,North America,2024-09-13
1128,Mckenzie-Miles,Private Equity,SaaS,4012522,Seed,1,Europe,2024-12-22
1129,"Lynch, Tran and Summers",Family Office,E-commerce,9583622,Series C,12,Asia,2024-10-13
1130,"Pitts, Wright and Greer",VC,SaaS,6698987,Series C,15,MENA,2024-12-04
1131,Cox-Smith,Family Office,Edtech,8198276,Series A,6,Europe,2024-04-12
1132,"Morse, Jones and Anderson",Private Equity,Fintech,5358285,Series C,3,Europe,2024-07-11
1133,Oneal Group,Institutional Investor,AI,6000114,Series C,8,MENA,2024-09-25
1134,Martinez-French,Institutional Investor,Healthtech,2519929,Series C,13,MENA,2024-07-05
1135,"Lewis, Ramos and Nunez",Family Office,SaaS,5952737,Series A,15,MENA,2024-10-31
1136,Young and Sons,Institutional Investor,Edtech,5401017,Series B,7,Asia,2024-04-12
1137,"Forbes, Smith and Matthews",Institutional Investor,Consumer Goods,5530975,Series A,8,North America,2024-09-10
1138,Carpenter Group,VC,Edtech,9627613,Series A,13,Global,2024-06-26
1139,Davis-Howe,Private Equity,Consumer Goods,9460889,Series A,12,MENA,2024-11-14
1140,Miller PLC,Private Equity,AI,3873436,Seed,4,MENA,2024-04-19
1141,Montes-Lee,VC,SaaS,9836947,Series A,5,Global,2024-11-10
1142,White-Love,Private Equity,Edtech,497704,Series A,10,Global,2024-08-23
1143,Nichols-Ochoa,Family Office,SaaS,2509704,Series B,4,Global,2025-01-09
1144,"Mcmillan, Rodriguez and Miller",VC,SaaS,137240,Series A,13,Asia,2025-03-24
1145,Dennis and Sons,Private Equity,AI,5559200,Series C,4,Asia,2024-05-24
1146,Miles-Brown,Institutional Investor,SaaS,4419980,Series C,10,Europe,2024-08-03
1147,"Vega, Andersen and Serrano",VC,Edtech,2023771,Series B,6,MENA,2024-11-23
1148,Webb-Kim,Institutional Investor,Fintech,5071211,Series C,12,Global,2025-03-22
1149,"Smith, Stephens and Alvarado",VC,SaaS,8083919,Series C,7,North America,2024-11-28
1150,Callahan Group,VC,SaaS,5016985,Series C,9,Asia,2025-02-17
1151,Carrillo-Bass,Institutional Investor,Consumer Goods,615854,Seed,13,Asia,2024-05-02
1152,"Mitchell, Cuevas and Warren",VC,SaaS,8624104,Series B,12,North America,2025-03-01
1153,Cordova PLC,Family Office,SaaS,1974598,Seed,15,Global,2024-07-17
1154,"Chung, Macdonald and Harrison",Institutional Investor,Edtech,7798033,Series B,4,North America,2024-06-26
1155,Garcia-Moore,Family Office,AI,4705232,Series A,15,Global,2024-05-28
1156,Ferguson-Murray,Institutional Investor,Healthtech,4853599,Series B,15,Europe,2024-05-21
1157,"Gomez, Bentley and Valdez",VC,Edtech,5082285,Seed,11,MENA,2024-10-04
1158,"Phillips, Young and Stevens",VC,Biotech,7179289,Series C,1,MENA,2024-05-12
1159,Garner and Sons,Family Office,E-commerce,8752487,Series B,2,Europe,2025-02-03
1160,Wheeler PLC,Institutional Investor,Edtech,2508662,Series B,15,Europe,2025-01-20
1161,Thompson-Edwards,Institutional Investor,E-commerce,4347555,Series A,5,North America,2024-12-02
1162,Campbell-Daniel,VC,SaaS,9652798,Seed,15,Global,2024-07-02
1163,Berger-Aguirre,Private Equity,Healthtech,4689661,Seed,15,Global,2024-10-21
1164,Mckee Inc,Institutional Investor,Biotech,8422755,Seed,10,Europe,2025-02-20
1165,Johnson-Vaughn,VC,Healthtech,1128107,Seed,14,Europe,2024-05-23
1166,Baird-George,VC,AI,7033785,Series B,4,Europe,2024-11-22
1167,"Padilla, Cameron and Lawson",Private Equity,AI,8396817,Series C,2,MENA,2024-11-07
1168,White Group,Private Equity,Biotech,3628273,Seed,1,Global,2024-07-10
1169,Curry-Smith,Family Office,Healthtech,877070,Series C,1,Asia,2024-09-16
1170,Carter and Sons,Private Equity,Edtech,108798,Seed,4,Asia,2024-04-02
1171,"Williams, Cummings and Hernandez",Private Equity,AI,6029362,Series B,2,Global,2024-10-22
1172,Chavez-Adams,Private Equity,Healthtech,456540,Seed,11,Global,2025-01-19
1173,Brown-Murphy,Institutional Investor,SaaS,1629466,Series A,1,MENA,2024-12-31
1174,"Brooks, Cantu and Moore",VC,SaaS,8360727,Series B,5,North America,2024-06-01
1175,Castillo Group,Family Office,E-commerce,8724513,Series B,14,Europe,2024-05-18
1176,"Mendez, Johnson and Williams",Private Equity,AI,8210159,Series A,6,North America,2025-02-02
1177,Gomez-Pollard,Family Office,Fintech,7930825,Series B,15,North America,2024-09-17
1178,Vincent Ltd,Family Office,E-commerce,8676519,Series A,10,Europe,2024-08-14
1179,"Patterson, Townsend and Ball",Private Equity,Healthtech,6824214,Series C,15,Global,2024-10-22
1180,Brewer Ltd,VC,Edtech,3499118,Series C,2,Europe,2025-03-07
1181,Summers LLC,Family Office,Edtech,9066107,Seed,1,MENA,2025-02-07
1182,Wagner Inc,Institutional Investor,E-commerce,573749,Series B,2,MENA,2024-12-20
1183,"Kelly, Nichols and Pearson",Private Equity,E-commerce,2505454,Series A,10,Global,2024-07-28
1184,Coleman Group,Family Office,Edtech,4281016,Series A,15,Global,2024-06-20
1185,Johnson Inc,VC,AI,2438025,Series C,12,North America,2025-02-20
1186,Hunt-Robles,Family Office,Fintech,8841124,Series C,15,Europe,2025-01-20
1187,"Jackson, Edwards and Taylor",Family Office,Biotech,8563410,Seed,2,MENA,2024-10-28
1188,"Rose, Hayes and Davis",Private Equity,Healthtech,633081,Series B,15,MENA,2024-09-21
1189,Russo-Hill,Institutional Investor,Healthtech,1798349,Seed,4,Asia,2024-07-29
1190,Gibson-Rivera,VC,SaaS,4090043,Series C,4,Global,2024-09-12
1191,Vaughan-West,VC,Consumer Goods,8080776,Seed,7,Europe,2024-11-20
1192,"Hart, Martin and Walters",VC,AI,5097782,Series A,7,Europe,2024-09-16
1193,Rice-Ford,Family Office,E-commerce,8876077,Seed,13,MENA,2024-06-25
1194,Roth-West,Institutional Investor,Healthtech,388153,Series C,9,Europe,2024-09-29
1195,Douglas LLC,VC,Edtech,356109,Series C,6,Europe,2024-04-17
1196,Donaldson Group,Private Equity,Consumer Goods,7928195,Series B,10,Asia,2024-04-05
1197,Mitchell LLC,VC,E-commerce,9689376,Series A,15,MENA,2024-08-21
1198,"Harris, Lloyd and Richards",Private Equity,SaaS,4170120,Series C,14,Europe,2024-05-11
1199,"Peterson, Clarke and Jacobson",Private Equity,E-commerce,3523892,Seed,13,Europe,2024-12-14
1200,Escobar-Burgess,Private Equity,Consumer Goods,771367,Series C,12,Asia,2025-02-08
1201,"Perkins, Clayton and Butler",Institutional Investor,Edtech,6583591,Series A,10,MENA,2025-02-01
1202,"Schneider, Walton and Cherry",Family Office,Fintech,1911285,Seed,2,Asia,2024-10-28
1203,Smith-Hickman,Family Office,Edtech,5936747,Series B,9,Europe,2024-07-28
1204,Goodwin and Sons,VC,Edtech,1151282,Series B,13,Global,2024-10-26
1205,Hoffman Inc,VC,Consumer Goods,3501162,Series C,12,Asia,2024-06-18
1206,Whitaker PLC,Institutional Investor,Biotech,102550,Series B,13,Asia,2024-04-13
1207,Reyes-Cortez,Family Office,Biotech,589619,Series A,8,Europe,2024-04-27
1208,"Proctor, Bryan and Scott",VC,Edtech,4359080,Series B,12,Europe,2025-01-23
1209,Young Inc,Family Office,AI,2919918,Series C,4,Asia,2024-08-21
1210,Smith and Sons,Institutional Investor,Consumer Goods,5312966,Series A,6,Asia,2024-06-25
1211,"Valdez, Hernandez and Acosta",Institutional Investor,AI,1116092,Series C,12,North America,2025-02-22
1212,Sanchez and Sons,Institutional Investor,AI,5913630,Series C,15,Europe,2024-09-08
1213,"Robinson, Fox and Hoover",Private Equity,Healthtech,8252399,Series C,9,Europe,2024-09-29
1214,Shah-Joseph,VC,Biotech,9892459,Series A,1,Asia,2024-05-28
1215,"Tucker, Moses and Mcdaniel",Institutional Investor,SaaS,3563355,Series B,2,Europe,2024-07-23
1216,"Nelson, Smith and Jensen",Family Office,Healthtech,3071452,Seed,4,Europe,2025-02-06
1217,Hart-Harmon,Private Equity,Edtech,9536588,Series B,15,North America,2025-03-18
1218,Castro Ltd,Family Office,Fintech,4289409,Series A,13,Global,2024-07-31
1219,Aguirre PLC,Private Equity,SaaS,8177279,Series C,8,MENA,2024-09-05
1220,Hays Ltd,Institutional Investor,Healthtech,6845113,Series A,12,MENA,2024-05-04
1221,Diaz LLC,Institutional Investor,Healthtech,8817017,Series C,3,Global,2024-05-22
1222,Hurst-Ewing,Family Office,Biotech,566577,Series C,1,North America,2024-11-03
1223,Guzman and Sons,Family Office,E-commerce,9943887,Series A,2,Asia,2024-10-13
1224,King-Brady,Private Equity,AI,1892292,Seed,4,Asia,2024-12-30
1225,Nguyen-Aguilar,Family Office,Biotech,9167458,Seed,14,Global,2024-12-10
1226,King Ltd,Family Office,SaaS,692223,Seed,9,Europe,2024-11-20
1227,"Powell, Smith and Wilson",Private Equity,E-commerce,106114,Series C,9,MENA,2024-08-01
1228,Reid-Young,Private Equity,Edtech,129741,Series C,11,Asia,2025-01-07
1229,Thompson-Diaz,Private Equity,Healthtech,5488995,Series B,13,Asia,2024-11-26
1230,Henry-Woods,Family Office,Fintech,7896593,Series A,4,Europe,2024-09-19
1231,Ford-Smith,Institutional Investor,Edtech,3956322,Series C,14,Europe,2024-05-19
1232,"Fry, Miller and Greene",Institutional Investor,E-commerce,6684640,Series B,13,MENA,2024-08-02
1233,"Heath, Brewer and Lee",Institutional Investor,Consumer Goods,2717275,Series C,6,Europe,2024-10-12
1234,Smith-Wilson,Private Equity,E-commerce,7175367,Series A,10,North America,2025-01-02
1235,Michael-Larson,Private Equity,Consumer Goods,5389973,Series C,11,Europe,2024-03-31
1236,Brown-Noble,Private Equity,E-commerce,9791738,Series B,9,Europe,2025-02-05
1237,"Neal, Cowan and Newman",Institutional Investor,Healthtech,7695642,Series B,11,Asia,2024-03-29
1238,Rodriguez-Price,Family Office,Biotech,4116850,Series B,4,Asia,2025-03-27
1239,Melton Group,VC,Consumer Goods,4450298,Series C,7,Global,2024-07-07
1240,"Perez, Mccormick and Meyer",Private Equity,SaaS,8588625,Series C,6,Global,2024-07-23
1241,"Johnson, Bell and Schmidt",Institutional Investor,AI,386848,Seed,8,MENA,2025-02-27
1242,Nielsen Group,VC,SaaS,4884668,Seed,6,Europe,2024-09-25
1243,Rivera-Brown,VC,AI,5761616,Seed,3,North America,2024-07-20
1244,Taylor LLC,Family Office,Consumer Goods,6098818,Series C,6,North America,2024-11-05
1245,Wright Ltd,Institutional Investor,Edtech,8635620,Seed,4,North America,2024-10-19
1246,"Santos, Cox and Riley",VC,Fintech,2704446,Series A,15,Asia,2024-10-24
1247,"Smith, Carpenter and Webb",Institutional Investor,Healthtech,4605084,Series B,9,Global,2024-09-01
1248,"Miller, Garcia and Williams",VC,Healthtech,9810664,Series C,13,MENA,2025-03-20
